Country/Region,Province,Date,Type,Reference
Afghanistan,,2020-03-24,Full,https://www.thestatesman.com/world/afghan-govt-imposes-lockdown-coronavirus-cases-increase-15-1502870945.html
Albania,,2020-03-08,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania
Algeria,,2020-03-24,Full,https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7
Andorra,,2020-03-16,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Andorra
Angola,,2020-03-24,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Angola
Antigua and Barbuda,,,None,
Argentina,,2020-03-20,Full,https://www.bloomberg.com/news/articles/2020-03-20/argentina-orders-exceptional-lockdown-in-bid-to-contain-virus
Armenia,,2020-03-24,Full,https://www.azatutyun.am/a/30506939.html
Australia,Australian Capital Territory,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia
Australia,New South Wales,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia
Australia,Northern Territory,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia
Australia,Queensland,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia
Australia,South Australia,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia
Australia,Tasmania,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia
Australia,Victoria,2020-03-24,Full,https://www.theage.com.au/national/victoria/schools-closed-from-tuesday-in-drastic-bid-to-curb-coronavirus-spread-20200322-p54cpw.html
Australia,Western Australia,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia
Australia,,,None,
Austria,,2020-03-16,Full,https://www.reuters.com/article/us-health-coronavirus-austria/austria-close-to-standstill-starts-biggest-repatriation-effort-ever-idUSKBN21427X
Azerbaijan,,2020-03-02,Full,https://en.trend.az/azerbaijan/society/3200643.html
Bahamas,,2020-03-20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Bahamas
Bahrain,,2020-02-25,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bahrain
Bangladesh,,2020-03-19,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bangladesh
Barbados,,2020-03-28,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Barbados
Belarus,,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belarus
Belgium,,2020-03-17,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7
Belize,,2020-03-30,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belize
Benin,,,None,
Bhutan,,2020-03-06,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bhutan
Bolivia,,2020-03-12,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bolivia
Bosnia and Herzegovina,,2020-03-11,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bosnia_and_Herzegovina
Botswana,,2020-04-02,Full,https://www.voanews.com/science-health/coronavirus-outbreak/botswana-declares-emergency-first-confirmed-covid-cases
Brazil,,,None,https://www.aljazeera.com/ajimpact/brazil-bolsonaro-denounces-mayors-virus-lockdowns-200325223340032.html
Brunei,,,None,
Bulgaria,,2020-03-13,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bulgaria
Burkina Faso,,2020-03-21,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Burkina_Faso
Burma,,,None,
Cabo Verde,,,None,
Cambodia,,2020-03-28,Partial,https://www.bangkokpost.com/world/1888300/cambodia-steps-up-travel-curbs-on-foreigners
Cameroon,,,None,
Canada,Alberta,2020-03-17,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada
Canada,British Columbia,2020-03-18,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada
Canada,Manitoba,2020-03-20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada
Canada,New Brunswick,2020-03-19,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada
Canada,Newfoundland and Labrador,2020-03-18,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada
Canada,Northwest Territories,2020-03-18,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada
Canada,Nova Scotia,2020-03-22,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada
Canada,Ontario,2020-03-14,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada
Canada,Prince Edward Island,2020-03-16,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada
Canada,Quebec,2020-03-12,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada
